Town,Year,Crime Type,Measure Type,Variable,Value
Middletown,2017,Total Crime,"Rate (per 100,000)",Crime Index,1718.8
Milford,2017,Total Crime,"Rate (per 100,000)",Crime Index,1799.9
Monroe,2017,Total Crime,"Rate (per 100,000)",Crime Index,794.8
Montville,2017,Total Crime,"Rate (per 100,000)",Crime Index,655.7
Morris,2017,Total Crime,"Rate (per 100,000)",Crime Index,412.9
Naugatuck,2017,Total Crime,"Rate (per 100,000)",Crime Index,1496
New Britain,2017,Total Crime,"Rate (per 100,000)",Crime Index,3128.7
New Canaan,2017,Total Crime,"Rate (per 100,000)",Crime Index,636.7
New Fairfield,2017,Total Crime,"Rate (per 100,000)",Crime Index,183.8
New Hartford,2017,Total Crime,"Rate (per 100,000)",Crime Index,608.6
New Haven,2017,Total Crime,"Rate (per 100,000)",Crime Index,2861.4
New London,2017,Total Crime,"Rate (per 100,000)",Crime Index,1703
New Milford,2017,Total Crime,"Rate (per 100,000)",Crime Index,1134.9
Newington,2017,Total Crime,"Rate (per 100,000)",Crime Index,3176.7
Newtown,2017,Total Crime,"Rate (per 100,000)",Crime Index,409.9
Norfolk,2017,Total Crime,"Rate (per 100,000)",Crime Index,229.1
North Branford,2017,Total Crime,"Rate (per 100,000)",Crime Index,1256.9
North Canaan,2017,Total Crime,"Rate (per 100,000)",Crime Index,1049.1
North Haven,2017,Total Crime,"Rate (per 100,000)",Crime Index,1987.9
North Stonington,2017,Total Crime,"Rate (per 100,000)",Crime Index,494.9
Norwalk,2017,Total Crime,"Rate (per 100,000)",Crime Index,2021.4
Norwich,2017,Total Crime,"Rate (per 100,000)",Crime Index,1851.7
Old Lyme,2017,Total Crime,"Rate (per 100,000)",Crime Index,615.7
Old Saybrook,2017,Total Crime,"Rate (per 100,000)",Crime Index,779
Orange,2017,Total Crime,"Rate (per 100,000)",Crime Index,2648.8
Oxford,2017,Total Crime,"Rate (per 100,000)",Crime Index,396.6
Plainfield,2017,Total Crime,"Rate (per 100,000)",Crime Index,532.9
Plainville,2017,Total Crime,"Rate (per 100,000)",Crime Index,3475.9
Plymouth,2017,Total Crime,"Rate (per 100,000)",Crime Index,1282.1
Pomfret,2017,Total Crime,"Rate (per 100,000)",Crime Index,300.1
Portland,2017,Total Crime,"Rate (per 100,000)",Crime Index,1207.6
Preston,2017,Total Crime,"Rate (per 100,000)",Crime Index,425.5
Prospect,2017,Total Crime,"Rate (per 100,000)",Crime Index,643.7
Putnam,2017,Total Crime,"Rate (per 100,000)",Crime Index,2015.6
Redding,2017,Total Crime,"Rate (per 100,000)",Crime Index,873
Ridgefield,2017,Total Crime,"Rate (per 100,000)",Crime Index,442
Rocky Hill,2017,Total Crime,"Rate (per 100,000)",Crime Index,1565.1
Roxbury,2017,Total Crime,"Rate (per 100,000)",Crime Index,533.8
Salem,2017,Total Crime,"Rate (per 100,000)",Crime Index,369.3
Salisbury,2017,Total Crime,"Rate (per 100,000)",Crime Index,406
Scotland,2017,Total Crime,"Rate (per 100,000)",Crime Index,489
Seymour,2017,Total Crime,"Rate (per 100,000)",Crime Index,854.4
Sharon,2017,Total Crime,"Rate (per 100,000)",Crime Index,543.8
Shelton,2017,Total Crime,"Rate (per 100,000)",Crime Index,1057.2
Sherman,2017,Total Crime,"Rate (per 100,000)",Crime Index,124
Simsbury,2017,Total Crime,"Rate (per 100,000)",Crime Index,691
Somers,2017,Total Crime,"Rate (per 100,000)",Crime Index,428.7
South Windsor,2017,Total Crime,"Rate (per 100,000)",Crime Index,1790.1
Southbury,2017,Total Crime,"Rate (per 100,000)",Crime Index,813.6
Southington,2017,Total Crime,"Rate (per 100,000)",Crime Index,1838.9
Sprague,2017,Total Crime,"Rate (per 100,000)",Crime Index,287.6
Stafford,2017,Total Crime,"Rate (per 100,000)",Crime Index,462.1
Stamford,2017,Total Crime,"Rate (per 100,000)",Crime Index,1850.8
Sterling,2017,Total Crime,"Rate (per 100,000)",Crime Index,674.2
Stonington,2017,Total Crime,"Rate (per 100,000)",Crime Index,1374.2
Stratford,2017,Total Crime,"Rate (per 100,000)",Crime Index,2294.5
Suffield,2017,Total Crime,"Rate (per 100,000)",Crime Index,799.1
Thomaston,2017,Total Crime,"Rate (per 100,000)",Crime Index,1607.8
Thompson,2017,Total Crime,"Rate (per 100,000)",Crime Index,428.1
Tolland,2017,Total Crime,"Rate (per 100,000)",Crime Index,798.7
Torrington,2017,Total Crime,"Rate (per 100,000)",Crime Index,1657.1
Trumbull,2017,Total Crime,"Rate (per 100,000)",Crime Index,2505.3
Union,2017,Total Crime,"Rate (per 100,000)",Crime Index,550.2
Vernon,2017,Total Crime,"Rate (per 100,000)",Crime Index,1313.6
Voluntown,2017,Total Crime,"Rate (per 100,000)",Crime Index,526.1
Wallingford,2017,Total Crime,"Rate (per 100,000)",Crime Index,1446.2
Warren,2017,Total Crime,"Rate (per 100,000)",Crime Index,378.5
Washington,2017,Total Crime,"Rate (per 100,000)",Crime Index,422.8
Waterbury,2017,Total Crime,"Rate (per 100,000)",Crime Index,4149
Waterford,2017,Total Crime,"Rate (per 100,000)",Crime Index,2187.5
Watertown,2017,Total Crime,"Rate (per 100,000)",Crime Index,1456.1
West Hartford,2017,Total Crime,"Rate (per 100,000)",Crime Index,2880.4
West Haven,2017,Total Crime,"Rate (per 100,000)",Crime Index,2353.2
Westbrook,2017,Total Crime,"Rate (per 100,000)",Crime Index,724.9
Weston,2017,Total Crime,"Rate (per 100,000)",Crime Index,388
Westport,2017,Total Crime,"Rate (per 100,000)",Crime Index,1121.5
Wethersfield,2017,Total Crime,"Rate (per 100,000)",Crime Index,1515.2
Willington,2017,Total Crime,"Rate (per 100,000)",Crime Index,478.2
Wilton,2017,Total Crime,"Rate (per 100,000)",Crime Index,792
Winchester,2017,Total Crime,"Rate (per 100,000)",Crime Index,1175.7
Windham,2017,Total Crime,"Rate (per 100,000)",Crime Index,831.9
Windsor,2017,Total Crime,"Rate (per 100,000)",Crime Index,2755.4
Windsor Locks,2017,Total Crime,"Rate (per 100,000)",Crime Index,1624.9
Wolcott,2017,Total Crime,"Rate (per 100,000)",Crime Index,1767.1
Woodbridge,2017,Total Crime,"Rate (per 100,000)",Crime Index,899.1
Woodbury,2017,Total Crime,"Rate (per 100,000)",Crime Index,371.8
Woodstock,2017,Total Crime,"Rate (per 100,000)",Crime Index,328.9
Andover,2013,Total Crime,Number,Crime Index,14
Ansonia,2013,Total Crime,Number,Crime Index,427
Ashford,2013,Total Crime,Number,Crime Index,26
Avon,2013,Total Crime,Number,Crime Index,148
Barkhamsted,2013,Total Crime,Number,Crime Index,22
Beacon Falls,2013,Total Crime,Number,Crime Index,55
Berlin,2013,Total Crime,Number,Crime Index,292
Bethany,2013,Total Crime,Number,Crime Index,41
Bethel,2013,Total Crime,Number,Crime Index,186
Bethlehem,2013,Total Crime,Number,Crime Index,20
Bloomfield,2013,Total Crime,Number,Crime Index,509
Bolton,2013,Total Crime,Number,Crime Index,33
Bozrah,2013,Total Crime,Number,Crime Index,22
Branford,2013,Total Crime,Number,Crime Index,651
Bridgeport,2013,Total Crime,Number,Crime Index,5861
Bridgewater,2013,Total Crime,Number,Crime Index,6
Bristol,2013,Total Crime,Number,Crime Index,1478
Brookfield,2013,Total Crime,Number,Crime Index,171
Brooklyn,2013,Total Crime,Number,Crime Index,82
Burlington,2013,Total Crime,Number,Crime Index,43
Canaan,2013,Total Crime,Number,Crime Index,18
Canterbury,2013,Total Crime,Number,Crime Index,38
Canton,2013,Total Crime,Number,Crime Index,75
Chaplin,2013,Total Crime,Number,Crime Index,14
Cheshire,2013,Total Crime,Number,Crime Index,210
Chester,2013,Total Crime,Number,Crime Index,6
Clinton,2013,Total Crime,Number,Crime Index,287
Colchester,2013,Total Crime,Number,Crime Index,76
Colebrook,2013,Total Crime,Number,Crime Index,11
Columbia,2013,Total Crime,Number,Crime Index,30
Connecticut,2013,Total Crime,Number,Crime Index,80298
Cornwall,2013,Total Crime,Number,Crime Index,9
Coventry,2013,Total Crime,Number,Crime Index,156
Cromwell,2013,Total Crime,Number,Crime Index,286
Danbury,2013,Total Crime,Number,Crime Index,1365
Darien,2013,Total Crime,Number,Crime Index,82
Deep River,2013,Total Crime,Number,Crime Index,24
Derby,2013,Total Crime,Number,Crime Index,333
Durham,2013,Total Crime,Number,Crime Index,110
East Granby,2013,Total Crime,Number,Crime Index,68
East Haddam,2013,Total Crime,Number,Crime Index,84
East Hampton,2013,Total Crime,Number,Crime Index,144
East Hartford,2013,Total Crime,Number,Crime Index,1633
East Haven,2013,Total Crime,Number,Crime Index,785
East Lyme,2013,Total Crime,Number,Crime Index,212
East Windsor,2013,Total Crime,Number,Crime Index,343
Eastford,2013,Total Crime,Number,Crime Index,16
Easton,2013,Total Crime,Number,Crime Index,31
Ellington,2013,Total Crime,Number,Crime Index,70
Enfield,2013,Total Crime,Number,Crime Index,907
Essex,2013,Total Crime,Number,Crime Index,21
Fairfield,2013,Total Crime,Number,Crime Index,1179
Farmington,2013,Total Crime,Number,Crime Index,680
Franklin,2013,Total Crime,Number,Crime Index,23
Glastonbury,2013,Total Crime,Number,Crime Index,302
Goshen,2013,Total Crime,Number,Crime Index,10
Granby,2013,Total Crime,Number,Crime Index,109
Greenwich,2013,Total Crime,Number,Crime Index,476
Griswold,2013,Total Crime,Number,Crime Index,133
Groton,2013,Total Crime,Number,Crime Index,797
Guilford,2013,Total Crime,Number,Crime Index,258
Haddam,2013,Total Crime,Number,Crime Index,34
Hamden,2013,Total Crime,Number,Crime Index,1671
Hampton,2013,Total Crime,Number,Crime Index,17
Hartford,2013,Total Crime,Number,Crime Index,6509
Hartland,2013,Total Crime,Number,Crime Index,2
Harwinton,2013,Total Crime,Number,Crime Index,34
Hebron,2013,Total Crime,Number,Crime Index,39
Kent,2013,Total Crime,Number,Crime Index,26
Killingly,2013,Total Crime,Number,Crime Index,213
Killingworth,2013,Total Crime,Number,Crime Index,14
Lebanon,2013,Total Crime,Number,Crime Index,40
Ledyard,2013,Total Crime,Number,Crime Index,159
Lisbon,2013,Total Crime,Number,Crime Index,136
Litchfield,2013,Total Crime,Number,Crime Index,73
Lyme,2013,Total Crime,Number,Crime Index,11
Madison,2013,Total Crime,Number,Crime Index,113
Manchester,2013,Total Crime,Number,Crime Index,1606
Mansfield,2013,Total Crime,Number,Crime Index,229
Marlborough,2013,Total Crime,Number,Crime Index,29
Meriden,2013,Total Crime,Number,Crime Index,1678
Middlebury,2013,Total Crime,Number,Crime Index,69
Middlefield,2013,Total Crime,Number,Crime Index,35
Middletown,2013,Total Crime,Number,Crime Index,885
Milford,2013,Total Crime,Number,Crime Index,1597
Monroe,2013,Total Crime,Number,Crime Index,169
Montville,2013,Total Crime,Number,Crime Index,210
Morris,2013,Total Crime,Number,Crime Index,12
Naugatuck,2013,Total Crime,Number,Crime Index,806
New Britain,2013,Total Crime,Number,Crime Index,2525
New Canaan,2013,Total Crime,Number,Crime Index,127
New Fairfield,2013,Total Crime,Number,Crime Index,45
New Hartford,2013,Total Crime,Number,Crime Index,52
New Haven,2013,Total Crime,Number,Crime Index,7769
New London,2013,Total Crime,Number,Crime Index,1086
New Milford,2013,Total Crime,Number,Crime Index,384
Newington,2013,Total Crime,Number,Crime Index,748
Newtown,2013,Total Crime,Number,Crime Index,129
Norfolk,2013,Total Crime,Number,Crime Index,23
North Branford,2013,Total Crime,Number,Crime Index,177
North Canaan,2013,Total Crime,Number,Crime Index,43
North Haven,2013,Total Crime,Number,Crime Index,491
North Stonington,2013,Total Crime,Number,Crime Index,58
Norwalk,2013,Total Crime,Number,Crime Index,1969
Norwich,2013,Total Crime,Number,Crime Index,1132
Old Lyme,2013,Total Crime,Number,Crime Index,52
Old Saybrook,2013,Total Crime,Number,Crime Index,120
Orange,2013,Total Crime,Number,Crime Index,339
Oxford,2013,Total Crime,Number,Crime Index,60
Plainfield,2013,Total Crime,Number,Crime Index,149
Plainville,2013,Total Crime,Number,Crime Index,529
Plymouth,2013,Total Crime,Number,Crime Index,213
Pomfret,2013,Total Crime,Number,Crime Index,50
Portland,2013,Total Crime,Number,Crime Index,53
Preston,2013,Total Crime,Number,Crime Index,56
Prospect,2013,Total Crime,Number,Crime Index,106
Putnam,2013,Total Crime,Number,Crime Index,247
Redding,2013,Total Crime,Number,Crime Index,47
Ridgefield,2013,Total Crime,Number,Crime Index,76
Rocky Hill,2013,Total Crime,Number,Crime Index,307
Roxbury,2013,Total Crime,Number,Crime Index,13
Salem,2013,Total Crime,Number,Crime Index,28
Salisbury,2013,Total Crime,Number,Crime Index,36
Scotland,2013,Total Crime,Number,Crime Index,19
Seymour,2013,Total Crime,Number,Crime Index,246
Sharon,2013,Total Crime,Number,Crime Index,18
Shelton,2013,Total Crime,Number,Crime Index,464
Sherman,2013,Total Crime,Number,Crime Index,3
Simsbury,2013,Total Crime,Number,Crime Index,166
Somers,2013,Total Crime,Number,Crime Index,44
South Windsor,2013,Total Crime,Number,Crime Index,400
Southbury,2013,Total Crime,Number,Crime Index,185
Southington,2013,Total Crime,Number,Crime Index,836
Sprague,2013,Total Crime,Number,Crime Index,33
Stafford,2013,Total Crime,Number,Crime Index,76
Stamford,2013,Total Crime,Number,Crime Index,2279
Sterling,2013,Total Crime,Number,Crime Index,31
Stonington,2013,Total Crime,Number,Crime Index,413
Stratford,2013,Total Crime,Number,Crime Index,1504
Suffield,2013,Total Crime,Number,Crime Index,110
Thomaston,2013,Total Crime,Number,Crime Index,114
Thompson,2013,Total Crime,Number,Crime Index,71
Tolland,2013,Total Crime,Number,Crime Index,68
Torrington,2013,Total Crime,Number,Crime Index,915
Trumbull,2013,Total Crime,Number,Crime Index,560
Union,2013,Total Crime,Number,Crime Index,4
Vernon,2013,Total Crime,Number,Crime Index,313
Voluntown,2013,Total Crime,Number,Crime Index,17
Wallingford,2013,Total Crime,Number,Crime Index,651
Warren,2013,Total Crime,Number,Crime Index,6
Washington,2013,Total Crime,Number,Crime Index,20
Waterbury,2013,Total Crime,Number,Crime Index,5046
Waterford,2013,Total Crime,Number,Crime Index,553
Watertown,2013,Total Crime,Number,Crime Index,489
West Hartford,2013,Total Crime,Number,Crime Index,1424
West Haven,2013,Total Crime,Number,Crime Index,1806
Westbrook,2013,Total Crime,Number,Crime Index,48
Weston,2013,Total Crime,Number,Crime Index,38
Westport,2013,Total Crime,Number,Crime Index,259
Wethersfield,2013,Total Crime,Number,Crime Index,407
Willington,2013,Total Crime,Number,Crime Index,36
Wilton,2013,Total Crime,Number,Crime Index,113
Winchester,2013,Total Crime,Number,Crime Index,206
Windham,2013,Total Crime,Number,Crime Index,112
Windsor,2013,Total Crime,Number,Crime Index,443
Windsor Locks,2013,Total Crime,Number,Crime Index,244
Wolcott,2013,Total Crime,Number,Crime Index,301
Woodbridge,2013,Total Crime,Number,Crime Index,102
Woodbury,2013,Total Crime,Number,Crime Index,37
Woodstock,2013,Total Crime,Number,Crime Index,44
Andover,2014,Total Crime,Number,Crime Index,24
Ansonia,2014,Total Crime,Number,Crime Index,410
Ashford,2014,Total Crime,Number,Crime Index,30
Avon,2014,Total Crime,Number,Crime Index,173
Barkhamsted,2014,Total Crime,Number,Crime Index,20
Beacon Falls,2014,Total Crime,Number,Crime Index,66
Berlin,2014,Total Crime,Number,Crime Index,317
Bethany,2014,Total Crime,Number,Crime Index,30
Bethel,2014,Total Crime,Number,Crime Index,169
Bethlehem,2014,Total Crime,Number,Crime Index,17
Bloomfield,2014,Total Crime,Number,Crime Index,553
Bolton,2014,Total Crime,Number,Crime Index,19
Bozrah,2014,Total Crime,Number,Crime Index,17
Branford,2014,Total Crime,Number,Crime Index,688
Bridgeport,2014,Total Crime,Number,Crime Index,5623
Bridgewater,2014,Total Crime,Number,Crime Index,8
Bristol,2014,Total Crime,Number,Crime Index,1582
Brookfield,2014,Total Crime,Number,Crime Index,166
Brooklyn,2014,Total Crime,Number,Crime Index,154
Burlington,2014,Total Crime,Number,Crime Index,37
Canaan,2014,Total Crime,Number,Crime Index,8
Canterbury,2014,Total Crime,Number,Crime Index,21
Canton,2014,Total Crime,Number,Crime Index,77
Chaplin,2014,Total Crime,Number,Crime Index,20
Cheshire,2014,Total Crime,Number,Crime Index,251
Chester,2014,Total Crime,Number,Crime Index,16
Clinton,2014,Total Crime,Number,Crime Index,282
Colchester,2014,Total Crime,Number,Crime Index,70
Colebrook,2014,Total Crime,Number,Crime Index,10
Columbia,2014,Total Crime,Number,Crime Index,28
Connecticut,2014,Total Crime,Number,Crime Index,77846
Cornwall,2014,Total Crime,Number,Crime Index,11
Coventry,2014,Total Crime,Number,Crime Index,144
Cromwell,2014,Total Crime,Number,Crime Index,313
Danbury,2014,Total Crime,Number,Crime Index,1507
Darien,2014,Total Crime,Number,Crime Index,196
Deep River,2014,Total Crime,Number,Crime Index,19
Derby,2014,Total Crime,Number,Crime Index,356
Durham,2014,Total Crime,Number,Crime Index,25
East Granby,2014,Total Crime,Number,Crime Index,59
East Haddam,2014,Total Crime,Number,Crime Index,61
East Hampton,2014,Total Crime,Number,Crime Index,76
East Hartford,2014,Total Crime,Number,Crime Index,1376
East Haven,2014,Total Crime,Number,Crime Index,752
East Lyme,2014,Total Crime,Number,Crime Index,159
East Windsor,2014,Total Crime,Number,Crime Index,427
Eastford,2014,Total Crime,Number,Crime Index,12
Easton,2014,Total Crime,Number,Crime Index,31
Ellington,2014,Total Crime,Number,Crime Index,66
Enfield,2014,Total Crime,Number,Crime Index,813
Essex,2014,Total Crime,Number,Crime Index,26
Fairfield,2014,Total Crime,Number,Crime Index,1203
Farmington,2014,Total Crime,Number,Crime Index,674
Franklin,2014,Total Crime,Number,Crime Index,8
Glastonbury,2014,Total Crime,Number,Crime Index,316
Goshen,2014,Total Crime,Number,Crime Index,10
Granby,2014,Total Crime,Number,Crime Index,94
Greenwich,2014,Total Crime,Number,Crime Index,496
Griswold,2014,Total Crime,Number,Crime Index,128
Groton,2014,Total Crime,Number,Crime Index,803
Guilford,2014,Total Crime,Number,Crime Index,356
Haddam,2014,Total Crime,Number,Crime Index,42
Hamden,2014,Total Crime,Number,Crime Index,1589
Hampton,2014,Total Crime,Number,Crime Index,6
Hartford,2014,Total Crime,Number,Crime Index,6660
Hartland,2014,Total Crime,Number,Crime Index,2
Harwinton,2014,Total Crime,Number,Crime Index,50
Hebron,2014,Total Crime,Number,Crime Index,32
Kent,2014,Total Crime,Number,Crime Index,5
Killingly,2014,Total Crime,Number,Crime Index,210
Killingworth,2014,Total Crime,Number,Crime Index,26
Lebanon,2014,Total Crime,Number,Crime Index,36
Ledyard,2014,Total Crime,Number,Crime Index,152
Lisbon,2014,Total Crime,Number,Crime Index,157
Litchfield,2014,Total Crime,Number,Crime Index,82
Lyme,2014,Total Crime,Number,Crime Index,16
Madison,2014,Total Crime,Number,Crime Index,122
Manchester,2014,Total Crime,Number,Crime Index,1692
Mansfield,2014,Total Crime,Number,Crime Index,166
Marlborough,2014,Total Crime,Number,Crime Index,22
Meriden,2014,Total Crime,Number,Crime Index,1595
Middlebury,2014,Total Crime,Number,Crime Index,60
Middlefield,2014,Total Crime,Number,Crime Index,24
Middletown,2014,Total Crime,Number,Crime Index,940
Milford,2014,Total Crime,Number,Crime Index,1422
Monroe,2014,Total Crime,Number,Crime Index,163
Montville,2014,Total Crime,Number,Crime Index,170
Morris,2014,Total Crime,Number,Crime Index,14
Naugatuck,2014,Total Crime,Number,Crime Index,644
New Britain,2014,Total Crime,Number,Crime Index,2439
New Canaan,2014,Total Crime,Number,Crime Index,131
New Fairfield,2014,Total Crime,Number,Crime Index,36
New Hartford,2014,Total Crime,Number,Crime Index,61
New Haven,2014,Total Crime,Number,Crime Index,6553
New London,2014,Total Crime,Number,Crime Index,1013
New Milford,2014,Total Crime,Number,Crime Index,401
Newington,2014,Total Crime,Number,Crime Index,770
Newtown,2014,Total Crime,Number,Crime Index,188
Norfolk,2014,Total Crime,Number,Crime Index,10
North Branford,2014,Total Crime,Number,Crime Index,195
North Canaan,2014,Total Crime,Number,Crime Index,41
North Haven,2014,Total Crime,Number,Crime Index,577
North Stonington,2014,Total Crime,Number,Crime Index,60
Norwalk,2014,Total Crime,Number,Crime Index,1866
Norwich,2014,Total Crime,Number,Crime Index,1001
Old Lyme,2014,Total Crime,Number,Crime Index,33
Old Saybrook,2014,Total Crime,Number,Crime Index,169
Orange,2014,Total Crime,Number,Crime Index,364
Oxford,2014,Total Crime,Number,Crime Index,54
Plainfield,2014,Total Crime,Number,Crime Index,142
Plainville,2014,Total Crime,Number,Crime Index,516
Plymouth,2014,Total Crime,Number,Crime Index,179
Pomfret,2014,Total Crime,Number,Crime Index,23
Portland,2014,Total Crime,Number,Crime Index,66
Preston,2014,Total Crime,Number,Crime Index,32
Prospect,2014,Total Crime,Number,Crime Index,80
Putnam,2014,Total Crime,Number,Crime Index,261
Redding,2014,Total Crime,Number,Crime Index,45
Ridgefield,2014,Total Crime,Number,Crime Index,66
Rocky Hill,2014,Total Crime,Number,Crime Index,379
Roxbury,2014,Total Crime,Number,Crime Index,12
Salem,2014,Total Crime,Number,Crime Index,30
Salisbury,2014,Total Crime,Number,Crime Index,30
Scotland,2014,Total Crime,Number,Crime Index,8
Seymour,2014,Total Crime,Number,Crime Index,173
Sharon,2014,Total Crime,Number,Crime Index,18
Shelton,2014,Total Crime,Number,Crime Index,414
Sherman,2014,Total Crime,Number,Crime Index,10
Simsbury,2014,Total Crime,Number,Crime Index,176
Somers,2014,Total Crime,Number,Crime Index,45
South Windsor,2014,Total Crime,Number,Crime Index,360
Southbury,2014,Total Crime,Number,Crime Index,174
Southington,2014,Total Crime,Number,Crime Index,859
Sprague,2014,Total Crime,Number,Crime Index,28
Stafford,2014,Total Crime,Number,Crime Index,69
Stamford,2014,Total Crime,Number,Crime Index,2369
Sterling,2014,Total Crime,Number,Crime Index,22
Stonington,2014,Total Crime,Number,Crime Index,339
Stratford,2014,Total Crime,Number,Crime Index,1380
Suffield,2014,Total Crime,Number,Crime Index,85
Thomaston,2014,Total Crime,Number,Crime Index,90
Thompson,2014,Total Crime,Number,Crime Index,70
Tolland,2014,Total Crime,Number,Crime Index,69
Torrington,2014,Total Crime,Number,Crime Index,681
Trumbull,2014,Total Crime,Number,Crime Index,629
Union,2014,Total Crime,Number,Crime Index,5
Vernon,2014,Total Crime,Number,Crime Index,367
Voluntown,2014,Total Crime,Number,Crime Index,14
Wallingford,2014,Total Crime,Number,Crime Index,641
Warren,2014,Total Crime,Number,Crime Index,11
Washington,2014,Total Crime,Number,Crime Index,15
Waterbury,2014,Total Crime,Number,Crime Index,4999
Waterford,2014,Total Crime,Number,Crime Index,482
Watertown,2014,Total Crime,Number,Crime Index,518
West Hartford,2014,Total Crime,Number,Crime Index,1447
West Haven,2014,Total Crime,Number,Crime Index,1665
Westbrook,2014,Total Crime,Number,Crime Index,51
Weston,2014,Total Crime,Number,Crime Index,35
Westport,2014,Total Crime,Number,Crime Index,337
Wethersfield,2014,Total Crime,Number,Crime Index,399
Willington,2014,Total Crime,Number,Crime Index,47
Wilton,2014,Total Crime,Number,Crime Index,63
Winchester,2014,Total Crime,Number,Crime Index,168
Windham,2014,Total Crime,Number,Crime Index,90
Windsor,2014,Total Crime,Number,Crime Index,483
Windsor Locks,2014,Total Crime,Number,Crime Index,256
Wolcott,2014,Total Crime,Number,Crime Index,314
Woodbridge,2014,Total Crime,Number,Crime Index,142
Woodbury,2014,Total Crime,Number,Crime Index,39
Woodstock,2014,Total Crime,Number,Crime Index,31
Andover,2015,Total Crime,Number,Crime Index,10
Ansonia,2015,Total Crime,Number,Crime Index,380
Ashford,2015,Total Crime,Number,Crime Index,18
Avon,2015,Total Crime,Number,Crime Index,150
Barkhamsted,2015,Total Crime,Number,Crime Index,18
Beacon Falls,2015,Total Crime,Number,Crime Index,52
Berlin,2015,Total Crime,Number,Crime Index,342
Bethany,2015,Total Crime,Number,Crime Index,35
Bethel,2015,Total Crime,Number,Crime Index,174
Bethlehem,2015,Total Crime,Number,Crime Index,10
Bloomfield,2015,Total Crime,Number,Crime Index,572
Bolton,2015,Total Crime,Number,Crime Index,29
Bozrah,2015,Total Crime,Number,Crime Index,14
Branford,2015,Total Crime,Number,Crime Index,708
Bridgeport,2015,Total Crime,Number,Crime Index,4492
Bridgewater,2015,Total Crime,Number,Crime Index,5
Bristol,2015,Total Crime,Number,Crime Index,1307
Brookfield,2015,Total Crime,Number,Crime Index,148
Brooklyn,2015,Total Crime,Number,Crime Index,104
Burlington,2015,Total Crime,Number,Crime Index,22
Canaan,2015,Total Crime,Number,Crime Index,3
Canterbury,2015,Total Crime,Number,Crime Index,20
Canton,2015,Total Crime,Number,Crime Index,50
Chaplin,2015,Total Crime,Number,Crime Index,15
Cheshire,2015,Total Crime,Number,Crime Index,203
Chester,2015,Total Crime,Number,Crime Index,15
Clinton,2015,Total Crime,Number,Crime Index,316
Colchester,2015,Total Crime,Number,Crime Index,65
Colebrook,2015,Total Crime,Number,Crime Index,6
Columbia,2015,Total Crime,Number,Crime Index,24
Connecticut,2015,Total Crime,Number,Crime Index,71914
Cornwall,2015,Total Crime,Number,Crime Index,7
Coventry,2015,Total Crime,Number,Crime Index,93
Cromwell,2015,Total Crime,Number,Crime Index,343
Danbury,2015,Total Crime,Number,Crime Index,1524
Darien,2015,Total Crime,Number,Crime Index,231
Deep River,2015,Total Crime,Number,Crime Index,18
Derby,2015,Total Crime,Number,Crime Index,393
Durham,2015,Total Crime,Number,Crime Index,23
East Granby,2015,Total Crime,Number,Crime Index,45
East Haddam,2015,Total Crime,Number,Crime Index,47
East Hampton,2015,Total Crime,Number,Crime Index,92
East Hartford,2015,Total Crime,Number,Crime Index,1291
East Haven,2015,Total Crime,Number,Crime Index,713
East Lyme,2015,Total Crime,Number,Crime Index,157
East Windsor,2015,Total Crime,Number,Crime Index,336
Eastford,2015,Total Crime,Number,Crime Index,9
Easton,2015,Total Crime,Number,Crime Index,24
Ellington,2015,Total Crime,Number,Crime Index,68
Enfield,2015,Total Crime,Number,Crime Index,844
Essex,2015,Total Crime,Number,Crime Index,27
Fairfield,2015,Total Crime,Number,Crime Index,969
Farmington,2015,Total Crime,Number,Crime Index,609
Franklin,2015,Total Crime,Number,Crime Index,26
Glastonbury,2015,Total Crime,Number,Crime Index,372
Goshen,2015,Total Crime,Number,Crime Index,11
Granby,2015,Total Crime,Number,Crime Index,83
Greenwich,2015,Total Crime,Number,Crime Index,438
Griswold,2015,Total Crime,Number,Crime Index,83
Groton,2015,Total Crime,Number,Crime Index,708
Guilford,2015,Total Crime,Number,Crime Index,218
Haddam,2015,Total Crime,Number,Crime Index,45
Hamden,2015,Total Crime,Number,Crime Index,1525
Hampton,2015,Total Crime,Number,Crime Index,15
Hartford,2015,Total Crime,Number,Crime Index,6888
Hartland,2015,Total Crime,Number,Crime Index,8
Harwinton,2015,Total Crime,Number,Crime Index,30
Hebron,2015,Total Crime,Number,Crime Index,25
Kent,2015,Total Crime,Number,Crime Index,13
Killingly,2015,Total Crime,Number,Crime Index,155
Killingworth,2015,Total Crime,Number,Crime Index,25
Lebanon,2015,Total Crime,Number,Crime Index,43
Ledyard,2015,Total Crime,Number,Crime Index,77
Lisbon,2015,Total Crime,Number,Crime Index,85
Litchfield,2015,Total Crime,Number,Crime Index,70
Lyme,2015,Total Crime,Number,Crime Index,16
Madison,2015,Total Crime,Number,Crime Index,58
Manchester,2015,Total Crime,Number,Crime Index,1678
Mansfield,2015,Total Crime,Number,Crime Index,143
Marlborough,2015,Total Crime,Number,Crime Index,25
Meriden,2015,Total Crime,Number,Crime Index,1637
Middlebury,2015,Total Crime,Number,Crime Index,65
Middlefield,2015,Total Crime,Number,Crime Index,32
Middletown,2015,Total Crime,Number,Crime Index,790
